t	A	AB	ABC	AC	B	BAC	BC	C CABC
5.871000000000295	0.2669026250232965	4.2235161967689604E-5	0.0028172346005347643	19.99555986195675	0.2669026250232965	0.0028172346005347643	19.99555986195675	3564.2871237839263	75.39965183148344
5.872000000000296	0.2669023750291302	4.2225027423108336E-5	0.002817234612047762	19.995559811917154	0.2669023750291302	0.002817234612047762	19.995559811917154	3564.287123263497	75.39965214172176
5.873000000000296	0.26690212560394433	4.221491492004451E-5	0.002817234623471151	19.995559761991466	0.26690212560394433	0.002817234623471151	19.995559761991466	3564.2871227442847	75.39965245125505
5.874000000000296	0.266901876746437	4.220482441053576E-5	0.0028172346349940153	19.99555971217974	0.266901876746437	0.0028172346349940153	19.99555971217974	3564.28712222624	75.39965276008333
5.875000000000297	0.2669016284553084	4.219475584677843E-5	0.0028172346468032334	19.995559662481647	0.2669016284553084	0.0028172346468032334	19.995559662481647	3564.287121709371	75.39965306820898
5.876000000000297	0.2669013807292687	4.218470918117482E-5	0.002817234657994416	19.995559612896734	0.2669013807292687	0.002817234657994416	19.995559612896734	3564.2871211936604	75.39965337563568
5.877000000000297	0.2669011335670423	4.2174684365981175E-5	0.0028172346700961427	19.995559563424937	0.2669011335670423	0.0028172346700961427	19.995559563424937	3564.2871206791374	75.39965368236159
5.878000000000298	0.26690088696734565	4.2164681353747265E-5	0.0028172346815003766	19.99555951406585	0.26690088696734565	0.0028172346815003766	19.99555951406585	3564.2871201657704	75.39965398839273
5.879000000000298	0.2669006409288844	4.2154700096997366E-5	0.0028172346932057927	19.99555946481936	0.2669006409288844	0.0028172346932057927	19.99555946481936	3564.287119653581	75.39965429372637
5.880000000000298	0.26690039545038774	4.214474054854396E-5	0.002817234703816576	19.995559415685015	0.26690039545038774	0.002817234703816576	19.995559415685015	3564.2871191425365	75.39965459836856
5.881000000000299	0.2669001505305765	4.213480266103556E-5	0.0028172347151002503	19.995559366662818	0.2669001505305765	0.0028172347151002503	19.995559366662818	3564.287118632667	75.39965490231663
