	time(s)		A copies
   4.5253863e-04   7.4220919e+04
   4.6309028e-04   7.3777460e+04
   4.7388796e-04   7.3329115e+04
   4.8493741e-04   7.2875921e+04
   4.9624449e-04   7.2417924e+04
   5.0781521e-04   7.1955170e+04
   5.1965572e-04   7.1487708e+04
   5.3177232e-04   7.1015594e+04
   5.4417143e-04   7.0538884e+04
   5.5685964e-04   7.0057640e+04
   5.6984371e-04   6.9571926e+04
   5.8313051e-04   6.9081810e+04
   5.9672712e-04   6.8587364e+04
   6.1064075e-04   6.8088664e+04
   6.2487881e-04   6.7585788e+04
   6.3944884e-04   6.7078820e+04
   6.5435860e-04   6.6567845e+04
   6.6961601e-04   6.6052953e+04
   6.8522916e-04   6.5534237e+04
   7.0120636e-04   6.5011794e+04
   7.1755609e-04   6.4485723e+04
   7.3428704e-04   6.3956129e+04
   7.5140811e-04   6.3423116e+04
   7.6892837e-04   6.2886796e+04
   7.8685715e-04   6.2347280e+04
   8.0520397e-04   6.1804686e+04
   8.2397857e-04   6.1259131e+04
   8.4319093e-04   6.0710738e+04
   8.6285126e-04   6.0159631e+04
   8.8297000e-04   5.9605938e+04
   9.0355783e-04   5.9049788e+04
   9.2462571e-04   5.8491314e+04
   9.4618482e-04   5.7930649e+04
   9.6824661e-04   5.7367932e+04
   9.9082281e-04   5.6803301e+04
   1.0139254e-03   5.6236898e+04
   1.0375667e-03   5.5668863e+04
   1.0617592e-03   5.5099344e+04
   1.0865158e-03   5.4528484e+04
   1.1118496e-03   5.3956432e+04
   1.1377741e-03   5.3383337e+04
   1.1643031e-03   5.2809348e+04
   1.1914507e-03   5.2234616e+04
   1.2192313e-03   5.1659292e+04
   1.2476596e-03   5.1083528e+04
   1.2767507e-03   5.0507478e+04
   1.3065202e-03   4.9931294e+04
   1.3369837e-03   4.9355129e+04
   1.3681576e-03   4.8779135e+04
   1.4000584e-03   4.8203467e+04
   1.4327030e-03   4.7628276e+04
   1.4661087e-03   4.7053715e+04
   1.5002933e-03   4.6479934e+04
   1.5352750e-03   4.5907084e+04
   1.5710724e-03   4.5335315e+04
   1.6077044e-03   4.4764776e+04
   1.6451906e-03   4.4195612e+04
   1.6835508e-03   4.3627971e+04
   1.7228054e-03   4.3061995e+04
   1.7629754e-03   4.2497828e+04
   1.8040819e-03   4.1935609e+04
   1.8461469e-03   4.1375478e+04
   1.8891928e-03   4.0817570e+04
   1.9332423e-03   4.0262021e+04
   1.9783189e-03   3.9708960e+04
   2.0244465e-03   3.9158519e+04
   2.0716497e-03   3.8610823e+04
   2.1199535e-03   3.8065996e+04
   2.1693835e-03   3.7524159e+04
   2.2199661e-03   3.6985431e+04
   2.2717281e-03   3.6449927e+04
   2.3246971e-03   3.5917759e+04
   2.3789010e-03   3.5389036e+04
   2.4343689e-03   3.4863864e+04
   2.4911300e-03   3.4342344e+04
   2.5492147e-03   3.3824578e+04
   2.6086536e-03   3.3310659e+04
   2.6694785e-03   3.2800681e+04
   2.7317216e-03   3.2294732e+04
   2.7954160e-03   3.1792897e+04
   2.8605955e-03   3.1295259e+04
   2.9272948e-03   3.0801895e+04
   2.9955493e-03   3.0312880e+04
   3.0653953e-03   2.9828285e+04
   3.1368698e-03   2.9348177e+04
   3.2100109e-03   2.8872621e+04
   3.2848574e-03   2.8401676e+04
   3.3614490e-03   2.7935399e+04
   3.4398265e-03   2.7473843e+04
   3.5200315e-03   2.7017058e+04
   3.6021066e-03   2.6565089e+04
   3.6860954e-03   2.6117979e+04
   3.7720425e-03   2.5675767e+04
   3.8599936e-03   2.5238489e+04
   3.9499955e-03   2.4806176e+04
   4.0420958e-03   2.4378858e+04
   4.1363437e-03   2.3956561e+04
   4.2327891e-03   2.3539306e+04
   4.3314832e-03   2.3127113e+04
   4.4324786e-03   2.2719998e+04
   4.5358288e-03   2.2317974e+04
   4.6415888e-03   2.1921051e+04
   4.7498148e-03   2.1529237e+04
   4.8605642e-03   2.1142534e+04
   4.9738960e-03   2.0760946e+04
   5.0898702e-03   2.0384470e+04
   5.2085486e-03   2.0013103e+04
   5.3299941e-03   1.9646838e+04
   5.4542713e-03   1.9285667e+04
   5.5814462e-03   1.8929578e+04
   5.7115865e-03   1.8578557e+04
   5.8447611e-03   1.8232588e+04
   5.9810410e-03   1.7891653e+04
   6.1204984e-03   1.7555732e+04
   6.2632075e-03   1.7224803e+04
   6.4092440e-03   1.6898841e+04
   6.5586857e-03   1.6577821e+04
   6.7116118e-03   1.6261713e+04
   6.8681036e-03   1.5950490e+04
   7.0282443e-03   1.5644119e+04
   7.1921189e-03   1.5342567e+04
   7.3598145e-03   1.5045801e+04
   7.5314202e-03   1.4753784e+04
   7.7070271e-03   1.4466480e+04
   7.8867286e-03   1.4183850e+04
   8.0706201e-03   1.3905854e+04
   8.2587994e-03   1.3632452e+04
   8.4513663e-03   1.3363603e+04
   8.6484233e-03   1.3099262e+04
   8.8500749e-03   1.2839388e+04
   9.0564284e-03   1.2583934e+04
   9.2675933e-03   1.2332856e+04
   9.4836819e-03   1.2086109e+04
   9.7048089e-03   1.1843644e+04
   9.9310918e-03   1.1605414e+04
   1.0162651e-02   1.1371372e+04
   1.0399609e-02   1.1141470e+04
   1.0642092e-02   1.0915657e+04
   1.0890230e-02   1.0693886e+04
   1.1144153e-02   1.0476106e+04
   1.1403996e-02   1.0262267e+04
   1.1669898e-02   1.0052319e+04
   1.1942000e-02   9.8462124e+03
   1.2220447e-02   9.6438953e+03
   1.2505386e-02   9.4453175e+03
   1.2796969e-02   9.2504282e+03
   1.3095350e-02   9.0591764e+03
   1.3400689e-02   8.8715112e+03
   1.3713147e-02   8.6873819e+03
   1.4032891e-02   8.5067376e+03
   1.4360090e-02   8.3295276e+03
   1.4694918e-02   8.1557014e+03
