	time(us)     A(t)              StDev(A)
   3.1300000e-02   2.2083333e+01   4.0957737e+00
   3.1400000e-02   2.2083333e+01   4.0957737e+00
   3.1500000e-02   2.2000000e+01   4.1072576e+00
   3.1600000e-02   2.1958333e+01   3.9943348e+00
   3.1700000e-02   2.1875000e+01   4.0142410e+00
   3.1800000e-02   2.1833333e+01   4.0504070e+00
   3.1900000e-02   2.1708333e+01   4.0376399e+00
   3.2000000e-02   2.1708333e+01   4.0376399e+00
   3.2100000e-02   2.1666667e+01   4.0824829e+00
   3.2200000e-02   2.1625000e+01   4.0733759e+00
   3.2300000e-02   2.1541667e+01   4.0430205e+00
   3.2400000e-02   2.1458333e+01   4.1491661e+00
   3.2500000e-02   2.1333333e+01   4.1876284e+00
   3.2600000e-02   2.1333333e+01   4.1876284e+00
   3.2700000e-02   2.1250000e+01   4.1204685e+00
   3.2800000e-02   2.1166667e+01   4.0718190e+00
   3.2900000e-02   2.1166667e+01   4.0718190e+00
   3.3000000e-02   2.1125000e+01   4.0680355e+00
   3.3100000e-02   2.1041667e+01   4.0698164e+00
   3.3200000e-02   2.1000000e+01   4.1178297e+00
   3.3300000e-02   2.1000000e+01   4.1178297e+00
   3.3400000e-02   2.0875000e+01   4.1316646e+00
   3.3500000e-02   2.0791667e+01   4.1908717e+00
   3.3600000e-02   2.0583333e+01   4.2825903e+00
   3.3700000e-02   2.0541667e+01   4.3236374e+00
   3.3800000e-02   2.0541667e+01   4.3236374e+00
   3.3900000e-02   2.0541667e+01   4.3236374e+00
   3.4000000e-02   2.0541667e+01   4.3236374e+00
   3.4100000e-02   2.0500000e+01   4.3338907e+00
   3.4200000e-02   2.0458333e+01   4.2730619e+00
   3.4300000e-02   2.0416667e+01   4.2315242e+00
   3.4400000e-02   2.0208333e+01   4.2730619e+00
   3.4500000e-02   2.0208333e+01   4.2730619e+00
   3.4600000e-02   2.0208333e+01   4.2730619e+00
   3.4700000e-02   2.0208333e+01   4.2730619e+00
   3.4800000e-02   2.0166667e+01   4.3305454e+00
   3.4900000e-02   2.0166667e+01   4.3305454e+00
   3.5000000e-02   2.0083333e+01   4.2417866e+00
   3.5100000e-02   2.0083333e+01   4.2417866e+00
   3.5200000e-02   2.0000000e+01   4.2220951e+00
   3.5300000e-02   1.9958333e+01   4.2577721e+00
   3.5400000e-02   1.9916667e+01   4.3028471e+00
   3.5500000e-02   1.9875000e+01   4.2764522e+00
   3.5600000e-02   1.9750000e+01   4.2859731e+00
   3.5700000e-02   1.9666667e+01   4.3405737e+00
   3.5800000e-02   1.9583333e+01   4.3129397e+00
   3.5900000e-02   1.9583333e+01   4.3129397e+00
   3.6000000e-02   1.9583333e+01   4.3129397e+00
   3.6100000e-02   1.9583333e+01   4.3129397e+00
   3.6200000e-02   1.9583333e+01   4.3129397e+00
   3.6300000e-02   1.9583333e+01   4.3129397e+00
   3.6400000e-02   1.9541667e+01   4.3135698e+00
   3.6500000e-02   1.9500000e+01   4.3638834e+00
   3.6600000e-02   1.9458333e+01   4.3437028e+00
   3.6700000e-02   1.9375000e+01   4.2815326e+00
   3.6800000e-02   1.9333333e+01   4.3204938e+00
   3.6900000e-02   1.9333333e+01   4.3204938e+00
   3.7000000e-02   1.9291667e+01   4.3386951e+00
   3.7100000e-02   1.9250000e+01   4.3763197e+00
   3.7200000e-02   1.9208333e+01   4.3537007e+00
   3.7300000e-02   1.9166667e+01   4.4002635e+00
   3.7400000e-02   1.9125000e+01   4.3769406e+00
   3.7500000e-02   1.9083333e+01   4.4125973e+00
   3.7600000e-02   1.9000000e+01   4.3338907e+00
   3.7700000e-02   1.8958333e+01   4.3186065e+00
   3.7800000e-02   1.8875000e+01   4.3769406e+00
   3.7900000e-02   1.8875000e+01   4.3769406e+00
   3.8000000e-02   1.8791667e+01   4.4328729e+00
   3.8100000e-02   1.8708333e+01   4.2781464e+00
   3.8200000e-02   1.8708333e+01   4.2781464e+00
   3.8300000e-02   1.8708333e+01   4.2781464e+00
   3.8400000e-02   1.8666667e+01   4.2494671e+00
   3.8500000e-02   1.8666667e+01   4.2494671e+00
   3.8600000e-02   1.8500000e+01   4.1807010e+00
   3.8700000e-02   1.8458333e+01   4.1596317e+00
   3.8800000e-02   1.8458333e+01   4.1596317e+00
   3.8900000e-02   1.8375000e+01   4.1683330e+00
   3.9000000e-02   1.8291667e+01   4.0268573e+00
   3.9100000e-02   1.8291667e+01   4.0268573e+00
   3.9200000e-02   1.8291667e+01   4.0268573e+00
   3.9300000e-02   1.8291667e+01   4.0268573e+00
   3.9400000e-02   1.8208333e+01   3.9997735e+00
   3.9500000e-02   1.8166667e+01   3.8860583e+00
   3.9600000e-02   1.8125000e+01   3.9376941e+00
   3.9700000e-02   1.8000000e+01   3.9120772e+00
   3.9800000e-02   1.7958333e+01   3.8951382e+00
   3.9900000e-02   1.7916667e+01   3.8888544e+00
   4.0000000e-02   1.7833333e+01   3.9854809e+00
   4.0100000e-02   1.7708333e+01   3.9505549e+00
   4.0200000e-02   1.7708333e+01   3.9505549e+00
   4.0300000e-02   1.7666667e+01   3.9963752e+00
   4.0400000e-02   1.7666667e+01   3.9963752e+00
   4.0500000e-02   1.7625000e+01   3.9652019e+00
   4.0600000e-02   1.7583333e+01   3.9222516e+00
   4.0700000e-02   1.7500000e+01   3.9342421e+00
   4.0800000e-02   1.7375000e+01   3.9099928e+00
   4.0900000e-02   1.7375000e+01   3.9099928e+00
   4.1000000e-02   1.7375000e+01   3.9099928e+00
   4.1100000e-02   1.7291667e+01   3.8615064e+00
   4.1200000e-02   1.7166667e+01   3.8183387e+00
   4.1300000e-02   1.7166667e+01   3.8183387e+00
   4.1400000e-02   1.7166667e+01   3.8183387e+00
   4.1500000e-02   1.7125000e+01   3.7102971e+00
   4.1600000e-02   1.7041667e+01   3.7703554e+00
   4.1700000e-02   1.7041667e+01   3.7703554e+00
   4.1800000e-02   1.7041667e+01   3.7703554e+00
   4.1900000e-02   1.6958333e+01   3.7703554e+00
   4.2000000e-02   1.6916667e+01   3.7290477e+00
   4.2100000e-02   1.6916667e+01   3.7290477e+00
   4.2200000e-02   1.6833333e+01   3.6791618e+00
   4.2300000e-02   1.6750000e+01   3.5416773e+00
   4.2400000e-02   1.6750000e+01   3.5416773e+00
   4.2500000e-02   1.6666667e+01   3.4724589e+00
   4.2600000e-02   1.6666667e+01   3.4724589e+00
   4.2700000e-02   1.6666667e+01   3.4724589e+00
   4.2800000e-02   1.6541667e+01   3.3229003e+00
   4.2900000e-02   1.6541667e+01   3.3229003e+00
   4.3000000e-02   1.6541667e+01   3.3229003e+00
   4.3100000e-02   1.6500000e+01   3.3492374e+00
   4.3200000e-02   1.6458333e+01   3.3359591e+00
   4.3300000e-02   1.6375000e+01   3.2545954e+00
   4.3400000e-02   1.6333333e+01   3.2258018e+00
   4.3500000e-02   1.6208333e+01   3.1482109e+00
   4.3600000e-02   1.6208333e+01   3.1482109e+00
