iter A R
150400000 0 1187
150500000 0 1171
150600000 0 1173
150700000 0 1171
150800000 1 1169
150900000 0 1165
151000000 0 1155
151100000 1 1156
151200000 0 1156
151300000 0 1161
151400000 0 1133
151500000 2 1114
151600000 0 1100
151700000 0 1098
151800000 2 1093
151900000 0 1069
152000000 2 1050
152100000 2 1017
152200000 1 1000
152300000 3 988
152400000 0 978
152500000 1 975
152600000 2 974
152700000 1 970
152800000 2 972
152900000 1 977
153000000 2 956
153100000 2 944
153200000 3 936
153300000 1 927
153400000 1 916
153500000 1 923
153600000 0 918
153700000 0 915
153800000 2 912
153900000 0 906
154000000 1 913
154100000 0 918
154200000 0 923
154300000 1 928
154400000 1 932
154500000 1 920
154600000 2 927
154700000 0 924
154800000 0 928
154900000 0 927
155000000 0 907
155100000 1 877
155200000 1 869
155300000 1 859
155400000 0 854
155500000 1 849
155600000 2 840
155700000 1 840
155800000 2 834
155900000 1 830
156000000 0 829
156100000 0 810
156200000 1 794
156300000 1 788
156400000 1 797
156500000 1 797
156600000 0 800
156700000 1 798
156800000 0 797
156900000 1 792
157000000 0 786
157100000 1 787
157200000 0 791
157300000 0 778
157400000 1 772
157500000 0 768
157600000 1 765
157700000 0 755
157800000 2 751
157900000 2 740
158000000 0 740
158100000 1 735
158200000 0 720
158300000 0 710
158400000 1 703
158500000 0 685
158600000 3 659
158700000 1 638
158800000 1 635
158900000 3 623
159000000 0 618
159100000 2 618
159200000 1 613
159300000 0 613
159400000 1 593
159500000 0 584
159600000 0 569
159700000 2 565
159800000 2 563
159900000 0 557
160000000 2 547
160100000 0 538
160200000 1 529
160300000 1 534
160400000 1 530
160500000 0 519
160600000 1 513
160700000 3 501
160800000 2 497
160900000 2 488
161000000 0 468
161100000 2 475
161200000 1 485
161300000 1 469
161400000 2 462
161500000 0 465
161600000 0 452
161700000 4 455
161800000 3 459
161900000 1 454
162000000 3 442
162100000 4 451
162200000 3 432
162300000 2 425
162400000 6 400
162500000 0 381
162600000 0 378
162700000 2 373
162800000 4 366
162900000 3 365
163000000 3 363
163100000 2 364
163200000 2 361
163300000 1 354
163400000 4 354
163500000 2 349
163600000 2 350
163700000 4 326
163800000 2 303
163900000 4 297
164000000 3 294
164100000 4 276
164200000 6 284
164300000 2 277
164400000 4 271
164500000 0 267
164600000 2 270
164700000 0 283
164800000 0 296
164900000 1 307
165000000 2 308
165100000 1 310
165200000 0 318
165300000 0 327
165400000 0 329
165500000 0 333
165600000 2 342
165700000 3 345
165800000 1 351
165900000 1 340
166000000 4 330
166100000 1 322
166200000 3 327
166300000 3 326
166400000 0 321
166500000 2 318
166600000 1 324
166700000 0 309
166800000 1 303
166900000 1 294
167000000 2 287
167100000 4 280
167200000 0 268
167300000 5 260
167400000 2 252
167500000 1 247
167600000 5 246
167700000 2 240
167800000 1 255
167900000 1 262
168000000 1 270
168100000 3 272
168200000 2 265
168300000 2 265
168400000 2 259
168500000 4 249
168600000 0 245
168700000 2 243
168800000 2 247
168900000 1 252
169000000 2 250
169100000 1 243
169200000 7 241
169300000 4 232
